Gene	EAGLE Annotation	Current SFARI Score	Existing ClinGen curation	Concordance 	Definitive ClinGen Classification with ASD features 
TNPO3	Moderate (score=6.35)	Score 3	"Moderate: Muscular dystrophy, limb-girdle, autosomal dominant (autosomal dominant) [Limb Girdle Muscular Dystrophy GCEP, 03/30/2023]"	Discordant	No
VPS13B	Moderate (score=6.35)	Score 1S	"Definitive: Cohen syndrome (autosomal recessive) [Intellectual Disability and Autism GCEP, 11/13/2018]"	Discordant	Yes
CSNK2A1	Moderate (score=6.2)	Score 1S	"Definitive: Syndromic intellectual disability (autosomal dominant) [Intellectual Disability and Autism GCEP, 06/15/2022]"	Discordant	Yes
OFD1	Limited (score=6)	Score 2	"Definitive: Ciliopathy (X-linked) [Intellectual Disability and Autism GCEP, 04/27/2018]"	Discordant	Yes (Rarely)
PSMD12	Limited (score=6)	Score 1S	"Definitive: Stankiewicz-Isidor syndrome (autosomal dominant) [Intellectual Disability and Autism GCEP, 03/05/2024]"	Discordant	Yes
PAX5	Limited (score=5.75)	Score 1	"Moderate: PAX5-related B lymphopenia and autism spectrum disorder (autosomal recessive) [Antibody Deficiencies GCEP, 02/28/2023]"	Discordant	Yes
FOXG1	Limited (score=5.7)	Score 1S	"Definitive: FOXG1 Disorder (autosomal dominant) [Rett and Angelman-like Disorders GCEP, 07/02/2018]"	Discordant	Yes
CNOT3	Limited (score=5.6)	Score 1S	"Definitive: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 08/24/2021]"	Discordant	Yes
TBCEL	Limited (score=5.6)	Score 1	NA	Discordant	NA
CAPRIN1	Limited (score=5.5)	Score 1	NA	Discordant	NA
PHF21A	Limited (score=5.35)	Score 1S	"Definitive: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 04/06/2022]"	Discordant	Yes
MBOAT7	Limited (score=5.25)	Score 1S	"Definitive: Complex NDD (autosomal recessive) [Intellectual Disability and Autism GCEP, 11/21/2023] "	Discordant	NA
PTCHD1	"Limited (score=5.2)
*Note this is strictly PTCHD1-ASD association

Entire PTCHD1 locus (PTCHD1 + PTCHD1-AS) is definitive"	Score 1	"Definitive: Non-syndromic X-linked intellectual disability (X-linked) [Intellectual Disability and Autism GCEP, 08/15/2018]"	Discordant	Yes
APBB1	Limited (score=4.95)	Score 2	NA	Discordant	NA
SRPRA	Limited (score=4.75)	Score 1	NA	Discordant	NA
DISC1	Limited (score=4.6)	Score 2	NA	Discordant	NA
HNRNPR	Limited (score=4.6)	Score 2S	Definitive: Syndromic Intellectual Disability (autosomal dominant) [Intellectual Disability and Autism GCEP; 05/03/2023] 	Discordant	No
ZMYND8	Limited (score=4.5)	Score 1S	NA	Discordant	NA
SETD1A	Limited (score=4.35)	Score 1S	NA	Discordant	NA
PHF2	Limited (score=4.25)	Score 1	NA	Discordant	NA
SKI	Limited (score=4.25)	Score 1	"Definitive: Shprintzen-Goldberg syndrome (autosomal dominant) [Craniofacial Malformations GCEP, 10/29/2020]"	Discordant	No
ZNF711	Limited (score=4.25)	Score 2	"Definitive: X-linked complex neurodevelopmental disorder (X-linked) [Intellectual Disability and Autism GCEP, 09/22/2022]"	Discordant	Yes (Rarely)
KATNAL2	Limited (score=4.1)	Score 1	"Disputed: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 05/20/2020]"	Discordant	Yes
LDB1	Limited (score=4)	Score 1	NA	Discordant	NA
SET	Limited (score=4)	Score 2	"Definitive: Intellectual Disability (autosomal dominant) [Intellectual Disability and Autism, GCEP, 1/17/2021]"	Discordant	Yes (Rarely)
CACNA2D3	Limited (score=3.75)	Score 1	NA	Discordant	NA
DMPK	Limited (score=3.75)	Score 1S	NA	Discordant	NA
HDAC8	Limited (score=3.7)	Score S	"Definitive: Cornelia de Lange syndrome (X-Linked) [Intellectual Disability and Autism GCEP, 09/11/2018]"	Discordant	Yes
EIF4E	Limited (score=3.6)	Score 2	NA	Discordant	NA
GRIN2A	Limited (score=3.6)	Score 1	"Definitive: Complex NDD (autosomal dominant) [Epilepsy GCEP, 07/16/2019]"	Discordant	No
MIB1	Limited (score=3.6)	Score 2	"No Known Disease Relationship (Animal Model Only): Dilated cardiomyopathy (autosomal dominant) [Dilated Cardiomyopathy GCEP, 09/04/2020]"	Discordant	No 
TRAF7	Limited (score=3.5)	Score 1S	"Definitive: Syndromic complex neurodevelopmental disorder (autosomal dominant) [Intellectual Disability and Autism GCEP, 09/06/2023]"	Discordant	NA
AGAP2	Limited (score=3.25)	Score 2	NA	Discordant	NA
ANP32A	Limited (score=3.1)	Score 1	NA	Discordant	NA
BCKDK	Limited (score=3.1)	Score 1	"Definitive: Branched-chain keto acid dehydrogenase kinase deficiency (autosomal recessive) [Aminoacidopathy GCEP, 01/18/2019]"	Discordant	Yes
NCOA1	Limited (score=3)	Score 1	NA	Discordant	NA
NLGN2	Limited (score=3)	Score 1	NA	Discordant	NA
KIF1A	Limited (score=2.95)	Score 2S	"Definitive: Syndromic intellectual disability (autosomal dominant) [Intellectual Disability and Autism GCEP, 09/24/2020]"	Discordant	Yes
NACC1	Limited (score=2.85)	Score 1S	"Definitive: NACC1-related neurodevelopmental disorder with epilepsy, cataracts and episodic irritability (autosomal dominant) [Intellectual Disability and Autism GCEP, 10/04/2023]"	Discordant	No
DLGAP2	Limited (score=2.8)	Score 2	"Limited: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 10/14/2021]"	Discordant	Yes
KDM5B	Limited (score=2.8)	Score 1	"Moderate: Intellectual disability (autosomal recessive) [Intellectual Disability and Autism GCEP, 03/01/2022]"	Discordant	No
PIGA	Limited (score=2.75)	No score provided	"Definitive: Complex NDD (X-linked) [Epilepsy GCEP, 04/16/2024]"	Discordant	NA
ASTN2	Limited (score=2.5)	Score 2	NA	Discordant	NA
SATB1	Limited (score=2.5)	Score 1S	"Definitive: Complex NND (autosomal dominant) [Intellectual Disability and Autism GCEP, 09/17/2024]"	Discordant	NA
DLG4	Limited (score=2.45)	Score 1	"Definitive: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 01/17/2023]"	Discordant	Yes
ALDH5A1	Limited (score=2.35)	Score 1S	"Definitive: Succinic semialdehyde dehydrogenase deficiency (autosomal recessive) [Intellectual Disability and Autism GCEP, 04/27/2021]"	Discordant	Yes
SYN1	Limited (score=2.35)	Score 1	"Definitive: X-linked Complex NDD (X-linked) [Intellectual Disability and Autism GCEP, 04/05/2023]"	Discordant	NA
CAMTA2	Limited (score=2.1)	Score 1	NA	Discordant	NA
GNAI1	Limited (score=2.1)	Score 1S	"Definitive: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 03/17/2021]"	Discordant	Yes
TCF7L2	Limited (score=2.1)	Score 1	"Definitive: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 12/15/2021]"	Discordant	Yes
TEK	Limited (score=2)	Score 1	"Definitive: TEK-related primary glaucoma (autosomal dominant) [Glaucoma and Neuro-Ophthalmology GCEP, 08/18/2022]"	Discordant	No
NOTCH3	Limited (score=1.75)	No score provided	"Disputed: Pulmonary arterial hypertension (autosomal dominant) [Pulmonary Hypertension GCEP, 11/03/2022]"	Discordant	No
UBR1	Limited (score=1.6)	Score 1	NA	Discordant	NA
